client_id,full_name,age,birth_date,phone,email,responsible_manager,source,created_date,total_enrollments,total_attendances,first_attendance_date,last_attendance_date,attendance_days_span,lifetime_from_creation_to_last_attendance,student_status,branch,parent_info,subscribed_to_newsletter,vk,no_auto_notifications,avg_score,score_trend,academic_risk,attendance_rate,avg_lesson_attendance,attendance_trend,days_since_last_attendance,lifetime_days,age_group,has_parent,subscribed,has_vk,communication_count,avg_duration_lesson,score_volatility
11,Ученик_11,12,14.12.2013,79673715057,student11@example.com,Дмитрий,Реклама,2025-04-15,6,6,,,57,68,Клиент,Основной,,Да,vk.com/id123,0,4.53,0.03074074074074076,0,1.0,1.0,0.0,118,352,10-12,False,1,True,1,1.3333333333333333,0.4349329450233299
12,Ученик_12,10,01.09.2015,79594021782,student12@example.com,Юлиана,Друг,2025-10-31,6,2,2025-06-11,,37,43,Бывший клиент,Основной,Елена,Нет,,0,2.77,0.0021148036253776665,0,0.3333333333333333,0.3333333333333333,0.0,326,153,10-12,True,0,False,1,1.6666666666666667,0.20816659994661318
13,Ученик_13,13,06.02.2013,79315143362,student13@example.com,Ольга,Друг,2025-11-09,6,3,,,32,42,Бывший клиент,Северный,Елена,Нет,vk.com/id123,0,3.35,0.04629629629629629,0,0.5,0.5,0.0,111,144,13-15,True,0,True,1,1.5833333333333333,1.7677669529663687
14,Ученик_14,13,04.04.2013,79164109919,student14@example.com,Анна,Сайт,2025-03-16,4,4,,,88,99,Клиент,Северный,Елена,Да,,0,1.66,-0.010929564384595305,1,1.0,1.0,0.0,149,382,13-15,True,1,False,1,1.25,0.7797435475847171
15,Ученик_15,12,03.07.2013,79120117054,student15@example.com,Юлиана,Друг,2026-02-01,7,7,2026-08-02,,71,78,Клиент,Северный,Елена,Нет,vk.com/id123,0,3.37,-0.010251518097928741,1,1.0,1.0,0.0,-153,60,10-12,True,0,True,1,1.2857142857142858,0.6408327915038889
16,Ученик_16,14,31.10.2011,79876198296,student16@example.com,Юлиана,Реклама,2024-09-26,7,5,2024-03-10,2024-03-11,31,38,Клиент,Основной,,Да,vk.com/id123,1,3.66,0.0032846715328467228,0,0.7142857142857143,0.7142857142857143,0.0,569,553,13-15,False,1,True,1,1.4285714285714286,0.4276179870598789
17,Ученик_17,13,07.07.2012,79227416584,student17@example.com,Анна,Реклама,2025-01-14,10,7,,2025-01-03,39,46,Клиент,Южный,Елена,Да,,1,3.27,0.009369951534733384,0,0.7,0.7,0.0,121,443,13-15,True,1,False,1,1.45,1.1015141094572205
18,Ученик_18,14,18.04.2011,79965953266,student18@example.com,Ольга,Реклама,2025-04-14,8,6,,2025-10-06,46,57,Клиент,Южный,Елена,Нет,,0,2.33,-0.015902799138726543,1,0.75,0.75,0.0,117,353,13-15,True,0,False,1,1.5,1.3098982148752374
19,Ученик_19,11,30.11.2014,79076228245,student19@example.com,Юлиана,Реклама,2025-02-16,7,7,,2025-05-04,36,48,Клиент,Южный,Елена,Да,vk.com/id123,0,3.22,-0.0019727133090383596,0,1.0,1.0,0.0,180,410,10-12,True,1,True,1,1.6428571428571428,0.5909032633745279
20,Ученик_20,13,09.12.2012,79718309417,student20@example.com,Юлиана,Давно знаю,2025-09-28,10,8,2025-09-10,,81,92,Клиент,Северный,Елена,Да,vk.com/id123,1,3.42,-0.012796869136331959,1,0.8,0.8,0.0,111,186,13-15,True,1,True,1,1.6,0.6997618642557384
21,Ученик_21,11,28.01.2015,79204451095,student21@example.com,Дмитрий,Друг,2024-09-23,7,7,,,64,66,Клиент,Основной,,Нет,,0,2.57,-0.016761731742830056,1,1.0,1.0,0.0,600,556,10-12,False,0,False,1,1.6428571428571428,1.1360751148875088
22,Ученик_22,12,28.08.2013,79432311310,student22@example.com,Дмитрий,Сайт,2024-05-16,5,5,,,82,95,Клиент,Южный,Елена,Да,vk.com/id123,0,1.65,-0.05000000000000001,1,1.0,1.0,0.0,512,686,10-12,True,1,True,1,1.8,0.636396103067893
23,Ученик_23,12,09.02.2014,79452991960,student23@example.com,Анна,Реклама,2025-08-10,9,7,,2025-02-10,46,53,Клиент,Основной,,Нет,vk.com/id123,0,3.16,0.013495376316465454,0,0.7777777777777778,0.7777777777777778,0.0,144,235,10-12,False,0,True,1,1.5555555555555556,0.8324662155306966
24,Ученик_24,10,29.11.2015,79100140141,student24@example.com,Дмитрий,Давно знаю,2025-02-11,11,9,,,37,45,Клиент,Основной,Елена,Да,vk.com/id123,0,1.71,-0.013293688177107865,1,0.8181818181818182,0.8181818181818182,0.0,181,415,10-12,True,1,True,1,1.5454545454545454,0.7798046153333783
25,Ученик_25,15,01.08.2010,79002314313,student25@example.com,Анна,Соцсети,2025-11-22,10,10,2025-01-12,2026-07-01,37,46,Клиент,Северный,Елена,Да,vk.com/id123,1,1.23,-0.005655670563705404,1,1.0,1.0,0.0,-243,131,13-15,True,1,True,1,1.55,0.404145188432738
26,Ученик_26,12,16.08.2013,79203901283,student26@example.com,Дмитрий,Сайт,2025-12-02,8,5,2025-06-12,2026-06-02,62,66,Бывший клиент,Северный,Елена,Нет,vk.com/id123,0,1.0,-8.533111188498777e-19,1,0.625,0.625,0.0,-90,121,10-12,True,0,True,1,1.5625,0.0
27,Ученик_27,11,07.03.2015,79539931481,student27@example.com,Юлиана,Друг,2025-11-08,10,9,,2026-08-01,51,61,Клиент,Южный,Елена,Да,vk.com/id123,1,1.86,-0.003526321283184301,1,0.9,0.9,0.0,-213,145,10-12,True,1,True,1,1.75,0.47908643220593244
28,Ученик_28,13,19.07.2012,79128727266,student28@example.com,Анна,Давно знаю,2025-12-21,6,5,,,60,67,Клиент,Южный,,Да,vk.com/id123,1,1.45,-0.004967747636299378,1,0.8333333333333334,0.8333333333333334,0.0,-213,102,13-15,False,1,True,1,1.5,0.4679743582719036
29,Ученик_29,15,06.06.2010,79219321646,student29@example.com,Юлиана,Давно знаю,2026-02-25,9,8,2026-08-03,,49,60,Клиент,Южный,Елена,Нет,,0,2.45,-0.018709677419354833,1,0.8888888888888888,0.8888888888888888,0.0,-1,36,13-15,True,0,False,1,1.5,2.0506096654409878
30,Ученик_30,11,04.12.2014,79339492674,student30@example.com,Дмитрий,Сайт,2026-02-20,6,6,,2026-09-04,41,48,Клиент,Основной,,Нет,,0,3.75,-0.019999999999999934,0,1.0,1.0,0.0,-31,41,10-12,False,0,False,1,1.25,0.0707106781186545
31,Ученик_31,13,22.05.2012,79374745382,student31@example.com,Юлиана,Друг,2026-01-28,3,2,2026-10-02,2026-09-04,58,71,Клиент,Основной,,Да,,0,1.05,-0.0011111111111111144,1,0.6666666666666666,0.6666666666666666,0.0,-183,64,13-15,False,1,False,1,1.5,0.07071067811865482
32,Ученик_32,14,29.09.2011,79717112652,student32@example.com,Анна,Сайт,2026-02-08,7,5,2026-12-02,,66,70,Клиент,Южный,Елена,Нет,vk.com/id123,0,2.77,0.015426349579527984,0,0.7142857142857143,0.7142857142857143,0.0,-62,53,13-15,True,0,True,1,1.5714285714285714,1.4843629385474881
33,Ученик_33,15,02.05.2010,79302533494,student33@example.com,Анна,Давно знаю,2025-11-07,9,9,2025-09-11,,65,67,Клиент,Южный,,Да,vk.com/id123,1,2.8,-0.02723025006489574,1,1.0,1.0,0.0,-90,146,13-15,False,1,True,1,1.5,1.7088007490635064
34,Ученик_34,10,12.10.2015,79099104722,student34@example.com,Ольга,Реклама,2024-09-30,8,7,2024-04-10,,77,81,Бывший клиент,Южный,Елена,Нет,vk.com/id123,0,1.0,2.248715118631638e-18,1,0.875,0.875,0.0,660,549,10-12,True,0,True,1,1.5,0.0
35,Ученик_35,12,15.11.2013,79795890631,student35@example.com,Юлиана,Давно знаю,2024-08-28,5,1,2024-11-09,2024-03-12,83,97,Бывший клиент,Северный,Елена,Да,,0,2.3,-0.0028621776045282383,1,0.2,0.2,0.0,509,582,10-12,True,1,False,1,1.3,0.565685424949238
36,Ученик_36,13,30.08.2012,79625464884,student36@example.com,Юлиана,Друг,2026-02-04,4,2,2026-06-02,2026-11-04,64,66,Бывший клиент,Южный,,Да,vk.com/id123,1,2.92,-0.014395465404974925,1,0.5,0.5,0.0,-30,57,13-15,False,1,True,1,1.5,0.9535023160258537
37,Ученик_37,10,30.01.2016,79732363533,student37@example.com,Ольга,Давно знаю,2025-03-08,7,6,2025-09-03,2025-12-04,34,35,Клиент,Основной,Елена,Да,,0,2.1,-0.0063453990405582085,1,0.8571428571428571,0.8571428571428571,0.0,302,390,10-12,True,1,False,1,1.6428571428571428,0.6999999999999998
38,Ученик_38,15,07.10.2010,79858872154,student38@example.com,Дмитрий,Друг,2025-09-20,4,3,,2025-08-12,78,79,Клиент,Основной,Елена,Да,vk.com/id123,0,4.44,-0.001125097796513198,0,0.75,0.75,0.0,204,194,13-15,True,1,True,1,1.5,0.4755948656056709
39,Ученик_39,13,24.03.2013,79286480450,student39@example.com,Ольга,Реклама,2025-04-04,5,4,2025-06-04,,38,40,Клиент,Основной,Елена,Нет,vk.com/id123,0,2.71,-0.0009863063280448833,0,0.8,0.8,0.0,149,363,13-15,True,0,True,1,1.6,1.073046397612224
40,Ученик_40,13,09.02.2013,79375442872,student40@example.com,Юлиана,Соцсети,2025-08-10,10,6,,2025-01-11,71,83,Клиент,Северный,Елена,Да,vk.com/id123,1,3.71,0.004016439839539281,0,0.6,0.6,0.0,235,235,13-15,True,1,True,1,1.4,0.7646972634722221
41,Ученик_41,10,10.12.2015,79299147754,student41@example.com,Юлиана,Реклама,2025-01-01,3,3,2025-03-01,,52,54,Клиент,Основной,Елена,Нет,,0,4.52,-0.0027128862094951333,0,1.0,1.0,0.0,244,456,10-12,True,0,False,1,1.6666666666666667,0.4438468204234431
42,Ученик_42,14,15.11.2011,79123847257,student42@example.com,Дмитрий,Сайт,2025-02-22,8,5,2025-02-03,,79,87,Клиент,Северный,Елена,Нет,vk.com/id123,0,2.78,-0.0095131191244563,0,0.625,0.625,0.0,119,404,13-15,True,0,True,1,1.3125,0.7547626558506103
43,Ученик_43,12,21.11.2013,79468574364,student43@example.com,Юлиана,Давно знаю,2024-09-12,7,6,,2024-05-12,76,84,Клиент,Южный,Елена,Нет,,0,2.22,-0.029356881039653455,1,0.8571428571428571,0.8571428571428571,0.0,569,567,10-12,True,0,False,1,1.5714285714285714,0.9621157241551905
44,Ученик_44,14,06.02.2012,79558260221,student44@example.com,Анна,Соцсети,2024-05-19,9,7,,2024-09-08,77,82,Бывший клиент,Южный,,Нет,vk.com/id123,0,3.55,-0.0141374714394516,0,0.7777777777777778,0.7777777777777778,0.0,542,683,13-15,False,0,True,1,1.1666666666666667,0.9628083921528727
45,Ученик_45,13,27.04.2012,79712306873,student45@example.com,Ольга,Реклама,2024-10-31,8,5,2024-11-11,,33,44,Клиент,Основной,Елена,Нет,,0,3.28,-0.004003616743744815,0,0.625,0.625,0.0,397,518,13-15,True,0,False,1,1.4375,0.49699094559156703
46,Ученик_46,12,03.11.2013,79748621833,student46@example.com,Ольга,Друг,2024-06-01,5,5,2024-09-06,,83,91,Клиент,Северный,Елена,Нет,,0,3.65,0.0964285714285714,0,1.0,1.0,0.0,634,670,10-12,True,0,False,1,1.4,1.9091883092036785
47,Ученик_47,17,29.12.2008,79588343096,student47@example.com,Дмитрий,Соцсети,2024-10-23,10,10,,2025-07-01,73,76,Клиент,Основной,Елена,Да,,1,3.6,0.0017113519680547558,0,1.0,1.0,0.0,456,526,16-18,True,1,False,1,1.4,0.4999999999999999
48,Ученик_48,17,20.12.2008,79548868899,student48@example.com,Ольга,Соцсети,2025-12-09,11,8,,,37,47,Клиент,Северный,Елена,Нет,vk.com/id123,0,3.87,0.004034602076124556,0,0.7272727272727273,0.7272727272727273,0.0,-244,114,16-18,True,0,True,1,1.4090909090909092,0.7474400756359444
49,Ученик_49,15,10.01.2011,79878775497,student49@example.com,Ольга,Давно знаю,2026-01-20,9,6,,2026-03-03,35,42,Клиент,Основной,Елена,Нет,vk.com/id123,0,3.6,0.0026490066225165467,0,0.6666666666666666,0.6666666666666666,0.0,-154,72,13-15,True,0,True,1,1.6111111111111112,0.9165151389911681
50,Ученик_50,12,11.12.2013,79488999385,student50@example.com,Анна,Реклама,2025-11-07,3,3,,2026-02-01,44,56,Клиент,Северный,,Да,,0,3.76,-0.005065144558878283,0,1.0,1.0,0.0,355,146,10-12,False,1,False,1,1.8333333333333333,0.7634508123364223
51,Ученик_51,12,15.06.2013,79958486184,student51@example.com,Дмитрий,Реклама,2025-02-24,7,2,,,75,79,Бывший клиент,Основной,Елена,Да,vk.com/id123,0,2.6,-0.01555555555555555,1,0.2857142857142857,0.2857142857142857,0.0,180,402,10-12,True,1,True,1,1.2857142857142858,0.9899494936611662
52,Ученик_52,14,15.12.2011,79143171768,student52@example.com,Дмитрий,Реклама,2024-07-23,9,8,,,55,59,Бывший клиент,Северный,,Да,vk.com/id123,1,2.67,0.016162420382165612,0,0.8888888888888888,0.8888888888888888,0.0,601,618,13-15,False,1,True,1,1.6666666666666667,0.4725815626252611
53,Ученик_53,13,23.06.2012,79891816852,student53@example.com,Ольга,Друг,2025-04-26,7,7,,2025-07-07,71,72,Бывший клиент,Южный,Елена,Нет,,0,3.5,0.0030937880633373845,0,1.0,1.0,0.0,239,341,13-15,True,0,False,1,1.5714285714285714,0.627162924074226
54,Ученик_54,13,14.01.2013,79672966010,student54@example.com,Дмитрий,Соцсети,2025-10-14,9,6,,2025-11-12,51,58,Бывший клиент,Основной,,Да,,1,3.91,0.008932136626076935,0,0.6666666666666666,0.6666666666666666,0.0,326,170,13-15,False,1,False,1,1.2222222222222223,0.8414839499926529
55,Ученик_55,12,25.02.2014,79148578017,student55@example.com,Анна,Сайт,2025-10-01,7,5,2025-12-10,,66,77,Клиент,Основной,,Нет,vk.com/id123,0,1.02,-0.0008974177071509651,1,0.7142857142857143,0.7142857142857143,0.0,234,183,10-12,False,0,True,1,1.4285714285714286,0.04082482904638635
56,Ученик_56,11,15.04.2014,79582624278,student56@example.com,Анна,Реклама,2024-12-20,9,3,,,34,36,Бывший клиент,Северный,,Нет,,0,1.23,-0.007147610807932914,1,0.3333333333333333,0.3333333333333333,0.0,122,468,10-12,False,0,False,1,1.3888888888888888,0.45
57,Ученик_57,16,22.12.2009,79006330865,student57@example.com,Дмитрий,Соцсети,2025-09-25,11,10,2025-06-10,,39,50,Клиент,Северный,Елена,Да,,1,4.96,-0.0007837212596194732,0,0.9090909090909091,0.9090909090909091,0.0,172,189,16-18,True,1,False,1,1.5,0.05345224838248471
58,Ученик_58,10,18.09.2015,79521454127,student58@example.com,Анна,Соцсети,2024-08-27,11,10,2024-02-09,2024-09-11,68,74,Клиент,Основной,Елена,Нет,,0,1.6,0.11999999999999988,1,0.9090909090909091,0.9090909090909091,0.0,508,583,10-12,True,0,False,1,1.4545454545454546,0.42426406871192834
59,Ученик_59,13,28.04.2012,79635540030,student59@example.com,Анна,Соцсети,2026-01-27,5,5,2026-04-02,2026-11-04,66,74,Клиент,Южный,Елена,Да,vk.com/id123,1,4.32,-0.009216623052361162,0,1.0,1.0,0.0,-31,65,13-15,True,1,True,1,1.5,0.6379655163094633
60,Ученик_60,11,22.02.2015,79407059676,student60@example.com,Анна,Соцсети,2025-10-06,3,3,,,67,75,Клиент,Северный,Елена,Да,vk.com/id123,1,3.0,-0.005310680130362773,0,1.0,1.0,0.0,-1,178,10-12,True,1,True,1,1.6666666666666667,0.9359487165438071
61,Ученик_61,10,20.10.2015,79896478772,student61@example.com,Дмитрий,Сайт,2024-11-18,4,3,2024-02-12,,81,95,Клиент,Основной,,Нет,,0,1.0,3.143619484949437e-18,1,0.75,0.75,0.0,567,500,10-12,False,0,False,1,1.375,0.0
62,Ученик_62,10,03.07.2015,79265518424,student62@example.com,Ольга,Давно знаю,2024-06-09,11,10,,,45,52,Клиент,Основной,,Да,vk.com/id123,0,2.33,-0.004907555352659214,1,0.9090909090909091,0.9090909090909091,0.0,572,662,10-12,False,1,True,1,1.5,0.9291573243177569
63,Ученик_63,15,23.05.2010,79751044796,student63@example.com,Анна,Реклама,2025-04-17,9,4,,,59,68,Бывший клиент,Северный,,Да,vk.com/id123,1,1.9,-0.0030824519371238416,1,0.4444444444444444,0.4444444444444444,0.0,147,350,13-15,False,1,True,1,1.5555555555555556,0.5338539126015657
64,Ученик_64,12,10.01.2014,79621358005,student64@example.com,Юлиана,Друг,2024-08-31,9,7,2024-04-09,2024-06-11,63,67,Клиент,Основной,Елена,Да,,0,4.26,0.010231803312206082,0,0.7777777777777778,0.7777777777777778,0.0,632,579,10-12,True,1,False,1,1.5,0.594017796751194
65,Ученик_65,11,15.06.2014,79109415691,student65@example.com,Дмитрий,Соцсети,2024-05-07,9,5,2024-11-05,,47,51,Клиент,Южный,Елена,Да,vk.com/id123,0,3.53,-0.001791085062080661,0,0.5555555555555556,0.5555555555555556,0.0,483,695,10-12,True,1,True,1,1.6111111111111112,0.668331255192114
66,Ученик_66,14,21.04.2011,79710303128,student66@example.com,Юлиана,Друг,2025-07-08,5,5,2025-09-07,,71,72,Клиент,Северный,Елена,Да,,1,4.2,0.004994259471871423,0,1.0,1.0,0.0,206,268,13-15,True,1,False,1,1.4,0.43588989435406733
67,Ученик_67,14,10.05.2011,79465492204,student67@example.com,Юлиана,Сайт,2024-09-24,4,4,2024-03-10,,44,53,Клиент,Северный,Елена,Нет,vk.com/id123,0,2.85,-0.04042553191489361,1,1.0,1.0,0.0,813,555,13-15,True,0,True,1,1.5,1.34350288425444
68,Ученик_68,13,13.08.2012,79499154414,student68@example.com,Дмитрий,Реклама,2024-09-13,9,3,,2024-08-11,54,56,Бывший клиент,Северный,,Нет,,0,2.75,-0.0009009009009009007,0,0.3333333333333333,0.3333333333333333,0.0,538,566,13-15,False,0,False,1,1.5,0.0707106781186545
69,Ученик_69,12,06.06.2013,79261846370,student69@example.com,Ольга,Сайт,2026-02-07,5,3,,,82,95,Клиент,Северный,Елена,Да,,1,4.63,0.00023358697575649666,0,0.6,0.6,0.0,-245,54,10-12,True,1,False,1,1.1,0.5715476066494083
70,Ученик_70,10,28.04.2015,79523502759,student70@example.com,Ольга,Соцсети,2024-09-07,6,5,,2024-09-11,49,63,Бывший клиент,Основной,,Нет,vk.com/id123,0,2.34,0.009294845696604515,1,0.8333333333333334,0.8333333333333334,0.0,631,572,10-12,False,0,True,1,1.6666666666666667,0.7765307463326871
71,Ученик_71,16,25.11.2009,79554724287,student71@example.com,Ольга,Сайт,2024-11-22,11,9,,,34,37,Бывший клиент,Основной,Елена,Нет,vk.com/id123,0,3.01,-0.0015786791136863701,0,0.8181818181818182,0.8181818181818182,0.0,244,496,16-18,True,0,True,1,1.3636363636363635,0.7470577207252715
72,Ученик_72,13,09.09.2012,79851405188,student72@example.com,Анна,Соцсети,2024-07-03,10,9,2024-07-07,2024-09-08,33,37,Клиент,Основной,Елена,Нет,,0,2.41,-0.020815934725221995,1,0.9,0.9,0.0,479,638,13-15,True,0,False,1,1.35,0.9263343014782721
73,Ученик_73,10,13.12.2015,79594287057,student73@example.com,Анна,Соцсети,2024-10-01,10,10,2024-12-10,2024-08-12,57,68,Клиент,Южный,Елена,Нет,,0,1.47,-0.018194024840550507,1,1.0,1.0,0.0,478,548,10-12,True,0,False,1,1.1,0.9995236960911028
74,Ученик_74,11,28.06.2014,79269942642,student74@example.com,Ольга,Сайт,2025-01-23,11,5,,2025-06-04,67,73,Бывший клиент,Основной,Елена,Нет,,0,2.55,-0.1125,1,0.45454545454545453,0.45454545454545453,0.0,210,434,10-12,True,0,False,1,1.5909090909090908,0.6363961030678925
75,Ученик_75,12,28.12.2013,79793070706,student75@example.com,Юлиана,Сайт,2025-04-30,6,6,2025-07-05,,82,89,Клиент,Северный,Елена,Да,vk.com/id123,0,1.33,-0.0076804459996441515,1,1.0,1.0,0.0,118,337,10-12,True,1,True,1,1.6666666666666667,0.5773502691896257
76,Ученик_76,16,09.06.2009,79387493096,student76@example.com,Ольга,Друг,2025-01-31,3,2,2025-01-02,2025-12-04,70,71,Клиент,Основной,Елена,Да,,0,1.28,-0.011450261308343848,1,0.6666666666666666,0.6666666666666666,0.0,212,426,16-18,True,1,False,1,1.6666666666666667,0.6940220937885672
77,Ученик_77,12,08.04.2013,79684907325,student77@example.com,Анна,Друг,2025-07-05,6,2,,2025-12-10,89,99,Бывший клиент,Северный,,Да,,0,1.9,0.0010383143428720496,1,0.3333333333333333,0.3333333333333333,0.0,390,271,10-12,False,1,False,1,1.1666666666666667,0.51478150704935
78,Ученик_78,13,30.03.2013,79197958983,student78@example.com,Ольга,Друг,2025-09-12,3,3,,,34,37,Клиент,Основной,Елена,Нет,,0,2.4,-0.01993739840210286,1,1.0,1.0,0.0,-1,202,13-15,True,0,False,1,1.6666666666666667,1.161895003862225
79,Ученик_79,11,04.08.2014,79160199682,student79@example.com,Юлиана,Давно знаю,2025-01-20,6,5,,,53,56,Клиент,Южный,Елена,Да,vk.com/id123,0,2.25,-0.016455696202531643,1,0.8333333333333334,0.8333333333333334,0.0,243,437,10-12,True,1,True,1,1.6666666666666667,0.9192388155425116
80,Ученик_80,10,21.02.2016,79832894596,student80@example.com,Юлиана,Реклама,2025-03-19,7,7,,,61,67,Клиент,Южный,Елена,Нет,vk.com/id123,0,4.05,-0.065,0,1.0,1.0,0.0,209,379,10-12,True,0,True,1,1.7142857142857142,0.9192388155425121
81,Ученик_81,13,22.08.2012,79671641650,student81@example.com,Дмитрий,Сайт,2025-03-09,9,6,,,38,47,Бывший клиент,Основной,Елена,Да,vk.com/id123,0,2.4,-0.002814004919083158,1,0.6666666666666666,0.6666666666666666,0.0,119,389,13-15,True,1,True,1,1.4444444444444444,0.8082903768654761
82,Ученик_82,11,23.02.2015,79438642403,student82@example.com,Анна,Реклама,2024-11-01,9,6,2024-03-11,,83,85,Клиент,Северный,,Да,vk.com/id123,0,1.0,-1.7445471763153053e-18,1,0.6666666666666666,0.6666666666666666,0.0,476,517,10-12,False,1,True,1,1.4444444444444444,0.0
83,Ученик_83,10,08.08.2015,79076428684,student83@example.com,Юлиана,Сайт,2024-05-08,4,4,,2024-12-08,88,96,Клиент,Южный,,Нет,,0,4.16,-0.0014604780393972926,0,1.0,1.0,0.0,573,694,10-12,False,0,False,1,1.625,0.6023762469230861
84,Ученик_84,14,22.11.2011,79887588450,student84@example.com,Анна,Друг,2025-11-11,6,6,,2026-08-01,50,58,Клиент,Основной,Елена,Да,vk.com/id123,1,3.35,-0.021841564752788926,1,1.0,1.0,0.0,445,142,13-15,True,1,True,1,1.1666666666666667,1.7972200755611425
85,Ученик_85,15,12.01.2011,79751333320,student85@example.com,Ольга,Сайт,2025-07-11,6,4,,2025-11-09,51,62,Клиент,Северный,Елена,Нет,,0,1.0,-2.067330680203334e-18,1,0.6666666666666666,0.6666666666666666,0.0,115,265,13-15,True,0,False,1,1.3333333333333333,0.0
86,Ученик_86,11,23.07.2014,79648232591,student86@example.com,Дмитрий,Друг,2024-12-23,6,5,2025-03-01,,79,90,Клиент,Северный,Елена,Да,,1,2.9,0.0188235294117647,0,0.8333333333333334,0.8333333333333334,0.0,121,465,10-12,True,1,False,1,1.5833333333333333,1.131370849898476
87,Ученик_87,14,10.12.2011,79819382051,student87@example.com,Юлиана,Друг,2025-01-15,7,6,,2025-07-04,68,82,Клиент,Основной,Елена,Нет,vk.com/id123,0,1.26,-0.007552827624982433,1,0.8571428571428571,0.8571428571428571,0.0,211,442,13-15,True,0,True,1,1.3571428571428572,0.5813776741499452
88,Ученик_88,13,07.05.2012,79097970787,student88@example.com,Ольга,Соцсети,2025-06-16,6,6,,,30,33,Клиент,Северный,,Нет,,0,3.9,-0.00916707737801874,0,1.0,1.0,0.0,146,290,13-15,False,0,False,1,1.75,1.1532562594670794
89,Ученик_89,10,17.10.2015,79744826434,student89@example.com,Юлиана,Сайт,2025-05-06,9,6,,2025-08-07,56,63,Бывший клиент,Северный,Елена,Нет,,0,3.45,0.004309084580577788,0,0.6666666666666666,0.6666666666666666,0.0,148,331,10-12,True,0,False,1,1.3333333333333333,0.5802298395176404
90,Ученик_90,11,12.09.2014,79347112584,student90@example.com,Юлиана,Друг,2025-01-10,6,6,,2025-11-04,86,91,Клиент,Основной,Елена,Нет,,0,2.19,-0.016733978982072944,1,1.0,1.0,0.0,182,447,10-12,True,0,False,1,1.3333333333333333,0.9191092996819828
