ФИО,Телефон,Email,№ клиента,Создан,Отв. менеджер,Источник клиента,Записей,Посещений,Дата перв посещ кл,Дата посл посещ кл,"Срок посещ, дн","Срок жизни кл от созд до посл посещ, дн",Статус ученика,Филиал ученика,"Родитель (имя, телефон)",Подписан на рассылку,VK,Не присылать автоуведомления,Возраст,Дата рождения
Ученик_17,79227416584,student17@example.com,17,14.01.2025,Анна,Реклама,10,7,21.01.2025,01.03.2025,39,46,Клиент,Южный,Елена,Да,,Да,13,07.07.2012
Ученик_18,79965953266,student18@example.com,18,14.04.2025,Ольга,Реклама,8,6,25.04.2025,10.06.2025,46,57,Клиент,Южный,Елена,Нет,,Нет,14,18.04.2011
Ученик_19,79076228245,student19@example.com,19,16.02.2025,Юлиана,Реклама,7,7,28.02.2025,05.04.2025,36,48,Клиент,Южный,Елена,Да,vk.com/id123,Нет,11,30.11.2014
Ученик_20,79718309417,student20@example.com,20,28.09.2025,Юлиана,Давно знаю,10,8,09.10.2025,29.12.2025,81,92,Клиент,Северный,Елена,Да,vk.com/id123,Да,13,09.12.2012
Ученик_21,79204451095,student21@example.com,21,23.09.2024,Дмитрий,Друг,7,7,25.09.2024,28.11.2024,64,66,Клиент,Основной,,Нет,,Нет,11,28.01.2015
Ученик_22,79432311310,student22@example.com,22,16.05.2024,Дмитрий,Сайт,5,5,29.05.2024,19.08.2024,82,95,Клиент,Южный,Елена,Да,vk.com/id123,Нет,12,28.08.2013
Ученик_23,79452991960,student23@example.com,23,10.08.2025,Анна,Реклама,9,7,17.08.2025,02.10.2025,46,53,Клиент,Основной,,Нет,vk.com/id123,Нет,12,09.02.2014
Ученик_24,79100140141,student24@example.com,24,11.02.2025,Дмитрий,Давно знаю,11,9,19.02.2025,28.03.2025,37,45,Клиент,Основной,Елена,Да,vk.com/id123,Нет,10,29.11.2015
Ученик_25,79002314313,student25@example.com,25,22.11.2025,Анна,Соцсети,10,10,01.12.2025,07.01.2026,37,46,Клиент,Северный,Елена,Да,vk.com/id123,Да,15,01.08.2010
Ученик_26,79203901283,student26@example.com,26,02.12.2025,Дмитрий,Сайт,8,5,06.12.2025,06.02.2026,62,66,Бывший клиент,Северный,Елена,Нет,vk.com/id123,Нет,12,16.08.2013
Ученик_27,79539931481,student27@example.com,27,08.11.2025,Юлиана,Друг,10,9,18.11.2025,08.01.2026,51,61,Клиент,Южный,Елена,Да,vk.com/id123,Да,11,07.03.2015
Ученик_28,79128727266,student28@example.com,28,21.12.2025,Анна,Давно знаю,6,5,28.12.2025,26.02.2026,60,67,Клиент,Южный,,Да,vk.com/id123,Да,13,19.07.2012
Ученик_29,79219321646,student29@example.com,29,25.02.2026,Юлиана,Давно знаю,9,8,08.03.2026,26.04.2026,49,60,Клиент,Южный,Елена,Нет,,Нет,15,06.06.2010
Ученик_30,79339492674,student30@example.com,30,20.02.2026,Дмитрий,Сайт,6,6,27.02.2026,09.04.2026,41,48,Клиент,Основной,,Нет,,Нет,11,04.12.2014
Ученик_31,79374745382,student31@example.com,31,28.01.2026,Юлиана,Друг,3,2,10.02.2026,09.04.2026,58,71,Клиент,Основной,,Да,,Нет,13,22.05.2012
Ученик_32,79717112652,student32@example.com,32,08.02.2026,Анна,Сайт,7,5,12.02.2026,19.04.2026,66,70,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,14,29.09.2011
Ученик_33,79302533494,student33@example.com,33,07.11.2025,Анна,Давно знаю,9,9,09.11.2025,13.01.2026,65,67,Клиент,Южный,,Да,vk.com/id123,Да,15,02.05.2010
Ученик_34,79099104722,student34@example.com,34,30.09.2024,Ольга,Реклама,8,7,04.10.2024,20.12.2024,77,81,Бывший клиент,Южный,Елена,Нет,vk.com/id123,Нет,10,12.10.2015
Ученик_35,79795890631,student35@example.com,35,28.08.2024,Юлиана,Давно знаю,5,1,11.09.2024,03.12.2024,83,97,Бывший клиент,Северный,Елена,Да,,Нет,12,15.11.2013
Ученик_36,79625464884,student36@example.com,36,04.02.2026,Юлиана,Друг,4,2,06.02.2026,11.04.2026,64,66,Бывший клиент,Южный,,Да,vk.com/id123,Да,13,30.08.2012
Ученик_37,79732363533,student37@example.com,37,08.03.2025,Ольга,Давно знаю,7,6,09.03.2025,12.04.2025,34,35,Клиент,Основной,Елена,Да,,Нет,10,30.01.2016
Ученик_38,79858872154,student38@example.com,38,20.09.2025,Дмитрий,Друг,4,3,21.09.2025,08.12.2025,78,79,Клиент,Основной,Елена,Да,vk.com/id123,Нет,15,07.10.2010
Ученик_39,79286480450,student39@example.com,39,04.04.2025,Ольга,Реклама,5,4,06.04.2025,14.05.2025,38,40,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,13,24.03.2013
Ученик_40,79375442872,student40@example.com,40,10.08.2025,Юлиана,Соцсети,10,6,22.08.2025,01.11.2025,71,83,Клиент,Северный,Елена,Да,vk.com/id123,Да,13,09.02.2013
Ученик_41,79299147754,student41@example.com,41,01.01.2025,Юлиана,Реклама,3,3,03.01.2025,24.02.2025,52,54,Клиент,Основной,Елена,Нет,,Нет,10,10.12.2015
Ученик_42,79123847257,student42@example.com,42,22.02.2025,Дмитрий,Сайт,8,5,02.03.2025,20.05.2025,79,87,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,14,15.11.2011
Ученик_43,79468574364,student43@example.com,43,12.09.2024,Юлиана,Давно знаю,7,6,20.09.2024,05.12.2024,76,84,Клиент,Южный,Елена,Нет,,Нет,12,21.11.2013
Ученик_44,79558260221,student44@example.com,44,19.05.2024,Анна,Соцсети,9,7,24.05.2024,09.08.2024,77,82,Бывший клиент,Южный,,Нет,vk.com/id123,Нет,14,06.02.2012
Ученик_45,79712306873,student45@example.com,45,31.10.2024,Ольга,Реклама,8,5,11.11.2024,14.12.2024,33,44,Клиент,Основной,Елена,Нет,,Нет,13,27.04.2012
Ученик_46,79748621833,student46@example.com,46,01.06.2024,Ольга,Друг,5,5,09.06.2024,31.08.2024,83,91,Клиент,Северный,Елена,Нет,,Нет,12,03.11.2013
Ученик_47,79588343096,student47@example.com,47,23.10.2024,Дмитрий,Соцсети,10,10,26.10.2024,07.01.2025,73,76,Клиент,Основной,Елена,Да,,Да,17,29.12.2008
Ученик_48,79548868899,student48@example.com,48,09.12.2025,Ольга,Соцсети,11,8,19.12.2025,25.01.2026,37,47,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,17,20.12.2008
Ученик_49,79878775497,student49@example.com,49,20.01.2026,Ольга,Давно знаю,9,6,27.01.2026,03.03.2026,35,42,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,15,10.01.2011
Ученик_50,79488999385,student50@example.com,50,07.11.2025,Анна,Реклама,3,3,19.11.2025,02.01.2026,44,56,Клиент,Северный,,Да,,Нет,12,11.12.2013
Ученик_51,79958486184,student51@example.com,51,24.02.2025,Дмитрий,Реклама,7,2,28.02.2025,14.05.2025,75,79,Бывший клиент,Основной,Елена,Да,vk.com/id123,Нет,12,15.06.2013
Ученик_52,79143171768,student52@example.com,52,23.07.2024,Дмитрий,Реклама,9,8,27.07.2024,20.09.2024,55,59,Бывший клиент,Северный,,Да,vk.com/id123,Да,14,15.12.2011
Ученик_53,79891816852,student53@example.com,53,26.04.2025,Ольга,Друг,7,7,27.04.2025,07.07.2025,71,72,Бывший клиент,Южный,Елена,Нет,,Нет,13,23.06.2012
Ученик_54,79672966010,student54@example.com,54,14.10.2025,Дмитрий,Соцсети,9,6,21.10.2025,11.12.2025,51,58,Бывший клиент,Основной,,Да,,Да,13,14.01.2013
Ученик_55,79148578017,student55@example.com,55,01.10.2025,Анна,Сайт,7,5,12.10.2025,17.12.2025,66,77,Клиент,Основной,,Нет,vk.com/id123,Нет,12,25.02.2014
Ученик_56,79582624278,student56@example.com,56,20.12.2024,Анна,Реклама,9,3,22.12.2024,25.01.2025,34,36,Бывший клиент,Северный,,Нет,,Нет,11,15.04.2014
Ученик_57,79006330865,student57@example.com,57,25.09.2025,Дмитрий,Соцсети,11,10,06.10.2025,14.11.2025,39,50,Клиент,Северный,Елена,Да,,Да,16,22.12.2009
Ученик_58,79521454127,student58@example.com,58,27.08.2024,Анна,Соцсети,11,10,02.09.2024,09.11.2024,68,74,Клиент,Основной,Елена,Нет,,Нет,10,18.09.2015
Ученик_59,79635540030,student59@example.com,59,27.01.2026,Анна,Соцсети,5,5,04.02.2026,11.04.2026,66,74,Клиент,Южный,Елена,Да,vk.com/id123,Да,13,28.04.2012
Ученик_60,79407059676,student60@example.com,60,06.10.2025,Анна,Соцсети,3,3,14.10.2025,20.12.2025,67,75,Клиент,Северный,Елена,Да,vk.com/id123,Да,11,22.02.2015
Ученик_61,79896478772,student61@example.com,61,18.11.2024,Дмитрий,Сайт,4,3,02.12.2024,21.02.2025,81,95,Клиент,Основной,,Нет,,Нет,10,20.10.2015
Ученик_62,79265518424,student62@example.com,62,09.06.2024,Ольга,Давно знаю,11,10,16.06.2024,31.07.2024,45,52,Клиент,Основной,,Да,vk.com/id123,Нет,10,03.07.2015
Ученик_63,79751044796,student63@example.com,63,17.04.2025,Анна,Реклама,9,4,26.04.2025,24.06.2025,59,68,Бывший клиент,Северный,,Да,vk.com/id123,Да,15,23.05.2010
Ученик_64,79621358005,student64@example.com,64,31.08.2024,Юлиана,Друг,9,7,04.09.2024,06.11.2024,63,67,Клиент,Основной,Елена,Да,,Нет,12,10.01.2014
Ученик_65,79109415691,student65@example.com,65,07.05.2024,Дмитрий,Соцсети,9,5,11.05.2024,27.06.2024,47,51,Клиент,Южный,Елена,Да,vk.com/id123,Нет,11,15.06.2014
Ученик_66,79710303128,student66@example.com,66,08.07.2025,Юлиана,Друг,5,5,09.07.2025,18.09.2025,71,72,Клиент,Северный,Елена,Да,,Да,14,21.04.2011
Ученик_67,79465492204,student67@example.com,67,24.09.2024,Юлиана,Сайт,4,4,03.10.2024,16.11.2024,44,53,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,14,10.05.2011
Ученик_68,79499154414,student68@example.com,68,13.09.2024,Дмитрий,Реклама,9,3,15.09.2024,08.11.2024,54,56,Бывший клиент,Северный,,Нет,,Нет,13,13.08.2012
Ученик_69,79261846370,student69@example.com,69,07.02.2026,Ольга,Сайт,5,3,20.02.2026,13.05.2026,82,95,Клиент,Северный,Елена,Да,,Да,12,06.06.2013
Ученик_70,79523502759,student70@example.com,70,07.09.2024,Ольга,Соцсети,6,5,21.09.2024,09.11.2024,49,63,Бывший клиент,Основной,,Нет,vk.com/id123,Нет,10,28.04.2015
Ученик_71,79554724287,student71@example.com,71,22.11.2024,Ольга,Сайт,11,9,25.11.2024,29.12.2024,34,37,Бывший клиент,Основной,Елена,Нет,vk.com/id123,Нет,16,25.11.2009
Ученик_72,79851405188,student72@example.com,72,03.07.2024,Анна,Соцсети,10,9,07.07.2024,09.08.2024,33,37,Клиент,Основной,Елена,Нет,,Нет,13,09.09.2012
Ученик_73,79594287057,student73@example.com,73,01.10.2024,Анна,Соцсети,10,10,12.10.2024,08.12.2024,57,68,Клиент,Южный,Елена,Нет,,Нет,10,13.12.2015
Ученик_74,79269942642,student74@example.com,74,23.01.2025,Ольга,Сайт,11,5,29.01.2025,06.04.2025,67,73,Бывший клиент,Основной,Елена,Нет,,Нет,11,28.06.2014
Ученик_75,79793070706,student75@example.com,75,30.04.2025,Юлиана,Сайт,6,6,07.05.2025,28.07.2025,82,89,Клиент,Северный,Елена,Да,vk.com/id123,Нет,12,28.12.2013
Ученик_76,79387493096,student76@example.com,76,31.01.2025,Ольга,Друг,3,2,01.02.2025,12.04.2025,70,71,Клиент,Основной,Елена,Да,,Нет,16,09.06.2009
Ученик_77,79684907325,student77@example.com,77,05.07.2025,Анна,Друг,6,2,15.07.2025,12.10.2025,89,99,Бывший клиент,Северный,,Да,,Нет,12,08.04.2013
Ученик_78,79197958983,student78@example.com,78,12.09.2025,Ольга,Друг,3,3,15.09.2025,19.10.2025,34,37,Клиент,Основной,Елена,Нет,,Нет,13,30.03.2013
Ученик_79,79160199682,student79@example.com,79,20.01.2025,Юлиана,Давно знаю,6,5,23.01.2025,17.03.2025,53,56,Клиент,Южный,Елена,Да,vk.com/id123,Нет,11,04.08.2014
Ученик_80,79832894596,student80@example.com,80,19.03.2025,Юлиана,Реклама,7,7,25.03.2025,25.05.2025,61,67,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,10,21.02.2016
Ученик_81,79671641650,student81@example.com,81,09.03.2025,Дмитрий,Сайт,9,6,18.03.2025,25.04.2025,38,47,Бывший клиент,Основной,Елена,Да,vk.com/id123,Нет,13,22.08.2012
Ученик_82,79438642403,student82@example.com,82,01.11.2024,Анна,Реклама,9,6,03.11.2024,25.01.2025,83,85,Клиент,Северный,,Да,vk.com/id123,Нет,11,23.02.2015
Ученик_83,79076428684,student83@example.com,83,08.05.2024,Юлиана,Сайт,4,4,16.05.2024,12.08.2024,88,96,Клиент,Южный,,Нет,,Нет,10,08.08.2015
Ученик_84,79887588450,student84@example.com,84,11.11.2025,Анна,Друг,6,6,19.11.2025,08.01.2026,50,58,Клиент,Основной,Елена,Да,vk.com/id123,Да,14,22.11.2011
Ученик_85,79751333320,student85@example.com,85,11.07.2025,Ольга,Сайт,6,4,22.07.2025,11.09.2025,51,62,Клиент,Северный,Елена,Нет,,Нет,15,12.01.2011
Ученик_86,79648232591,student86@example.com,86,23.12.2024,Дмитрий,Друг,6,5,03.01.2025,23.03.2025,79,90,Клиент,Северный,Елена,Да,,Да,11,23.07.2014
Ученик_87,79819382051,student87@example.com,87,15.01.2025,Юлиана,Друг,7,6,29.01.2025,07.04.2025,68,82,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,14,10.12.2011
Ученик_88,79097970787,student88@example.com,88,16.06.2025,Ольга,Соцсети,6,6,19.06.2025,19.07.2025,30,33,Клиент,Северный,,Нет,,Нет,13,07.05.2012
Ученик_89,79744826434,student89@example.com,89,06.05.2025,Юлиана,Сайт,9,6,13.05.2025,08.07.2025,56,63,Бывший клиент,Северный,Елена,Нет,,Нет,10,17.10.2015
Ученик_90,79347112584,student90@example.com,90,10.01.2025,Юлиана,Друг,6,6,15.01.2025,11.04.2025,86,91,Клиент,Основной,Елена,Нет,,Нет,11,12.09.2014
Ученик_91,79058201193,student91@example.com,91,19.06.2024,Юлиана,Друг,8,7,02.07.2024,04.08.2024,33,46,Клиент,Основной,Елена,Нет,,Нет,10,11.09.2015
Ученик_92,79996081045,student92@example.com,92,23.01.2025,Дмитрий,Соцсети,3,3,02.02.2025,10.04.2025,67,77,Клиент,Северный,Елена,Да,,Нет,11,22.05.2014
Ученик_93,79591458887,student93@example.com,93,05.10.2024,Юлиана,Соцсети,11,6,13.10.2024,18.12.2024,66,74,Бывший клиент,Основной,,Да,vk.com/id123,Да,15,14.04.2010
Ученик_94,79769446962,student94@example.com,94,19.04.2025,Юлиана,Реклама,3,3,03.05.2025,20.06.2025,48,62,Клиент,Северный,Елена,Да,vk.com/id123,Да,14,18.02.2012
Ученик_95,79411872350,student95@example.com,95,27.12.2024,Дмитрий,Соцсети,9,6,09.01.2025,15.03.2025,65,78,Бывший клиент,Основной,Елена,Да,,Нет,13,17.11.2012
Ученик_96,79845805127,student96@example.com,96,06.11.2025,Юлиана,Реклама,5,4,19.11.2025,20.01.2026,62,75,Клиент,Южный,,Нет,,Нет,15,20.07.2010
Ученик_97,79479476614,student97@example.com,97,15.10.2024,Ольга,Сайт,11,9,19.10.2024,27.11.2024,39,43,Бывший клиент,Южный,Елена,Нет,vk.com/id123,Нет,17,05.04.2009
Ученик_98,79748933239,student98@example.com,98,14.01.2026,Дмитрий,Друг,3,1,19.01.2026,27.02.2026,39,44,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,12,17.10.2013
Ученик_99,79414548900,student99@example.com,99,16.07.2024,Юлиана,Соцсети,8,8,24.07.2024,16.09.2024,54,62,Клиент,Южный,Елена,Нет,,Нет,12,07.12.2013
Ученик_100,79938654765,student100@example.com,100,28.01.2025,Дмитрий,Реклама,5,4,03.02.2025,04.04.2025,60,66,Клиент,Северный,Елена,Да,,Нет,12,07.05.2013
Ученик_101,79839156387,student101@example.com,101,01.10.2024,Анна,Давно знаю,8,8,07.10.2024,20.11.2024,44,50,Клиент,Северный,Елена,Да,vk.com/id123,Да,13,15.08.2012
Ученик_102,79673020489,student102@example.com,102,25.04.2025,Юлиана,Соцсети,7,6,30.04.2025,26.07.2025,87,92,Клиент,Южный,Елена,Нет,,Нет,11,16.04.2014
Ученик_103,79801834280,student103@example.com,103,11.04.2025,Юлиана,Друг,4,3,17.04.2025,10.07.2025,84,90,Клиент,Основной,Елена,Да,,Нет,11,30.07.2014
Ученик_104,79049382425,student104@example.com,104,08.09.2025,Дмитрий,Давно знаю,6,5,09.09.2025,11.11.2025,63,64,Клиент,Северный,,Нет,vk.com/id123,Нет,13,14.02.2013
Ученик_105,79182518553,student105@example.com,105,24.12.2024,Ольга,Сайт,7,3,06.01.2025,15.03.2025,68,81,Бывший клиент,Основной,Елена,Да,,Нет,17,07.11.2008
Ученик_106,79684944881,student106@example.com,106,18.09.2024,Анна,Друг,3,2,28.09.2024,31.10.2024,33,43,Клиент,Северный,Елена,Да,vk.com/id123,Да,11,22.09.2014
Ученик_107,79371048258,student107@example.com,107,05.01.2026,Дмитрий,Давно знаю,3,2,17.01.2026,13.03.2026,55,67,Клиент,Южный,Елена,Да,vk.com/id123,Да,10,29.04.2015
Ученик_108,79114518079,student108@example.com,108,24.04.2024,Дмитрий,Сайт,4,1,28.04.2024,19.06.2024,52,56,Бывший клиент,Основной,Елена,Да,,Да,10,31.08.2015
Ученик_109,79891246046,student109@example.com,109,14.08.2024,Ольга,Друг,3,3,23.08.2024,07.11.2024,76,85,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,17,05.10.2008
Ученик_110,79832945529,student110@example.com,110,25.05.2025,Юлиана,Друг,9,7,27.05.2025,07.08.2025,72,74,Клиент,Основной,Елена,Нет,,Нет,10,31.03.2016
Ученик_111,79331714152,student111@example.com,111,03.03.2025,Анна,Реклама,5,2,09.03.2025,26.04.2025,48,54,Клиент,Северный,Елена,Да,vk.com/id123,Нет,10,07.10.2015
Ученик_112,79188592093,student112@example.com,112,22.11.2025,Юлиана,Реклама,9,9,02.12.2025,31.01.2026,60,70,Клиент,Основной,Елена,Нет,,Нет,10,01.10.2015
Ученик_113,79865960427,student113@example.com,113,28.05.2024,Ольга,Сайт,7,2,31.05.2024,27.07.2024,57,60,Бывший клиент,Северный,Елена,Нет,,Нет,11,03.07.2014
Ученик_114,79908111216,student114@example.com,114,05.03.2025,Дмитрий,Давно знаю,3,3,17.03.2025,24.04.2025,38,50,Бывший клиент,Южный,Елена,Да,vk.com/id123,Да,12,14.10.2013
Ученик_115,79722443971,student115@example.com,115,29.07.2025,Ольга,Давно знаю,10,9,12.08.2025,13.10.2025,62,76,Клиент,Южный,Елена,Нет,,Нет,10,15.09.2015
Ученик_116,79665233376,student116@example.com,116,09.09.2025,Ольга,Соцсети,3,3,15.09.2025,31.10.2025,46,52,Бывший клиент,Южный,,Да,,Нет,16,11.06.2009
Ученик_117,79697115550,student117@example.com,117,28.12.2025,Юлиана,Реклама,3,3,31.12.2025,10.03.2026,69,72,Бывший клиент,Северный,Елена,Нет,,Нет,11,28.05.2014
Ученик_118,79952687430,student118@example.com,118,29.11.2024,Ольга,Давно знаю,10,7,30.11.2024,06.02.2025,68,69,Клиент,Южный,Елена,Да,vk.com/id123,Нет,16,14.03.2010
Ученик_119,79895171130,student119@example.com,119,13.10.2025,Дмитрий,Сайт,8,6,17.10.2025,07.01.2026,82,86,Бывший клиент,Северный,Елена,Да,,Нет,10,16.08.2015
Ученик_120,79918532650,student120@example.com,120,11.12.2025,Ольга,Давно знаю,3,3,25.12.2025,15.03.2026,80,94,Клиент,Северный,,Нет,vk.com/id123,Нет,12,13.11.2013
Ученик_121,79131167999,student121@example.com,121,09.06.2024,Ольга,Сайт,8,7,21.06.2024,08.08.2024,48,60,Бывший клиент,Северный,,Нет,vk.com/id123,Нет,17,20.04.2008
Ученик_122,79135209737,student122@example.com,122,13.08.2025,Юлиана,Друг,4,3,18.08.2025,21.10.2025,64,69,Бывший клиент,Южный,,Нет,vk.com/id123,Нет,10,18.12.2015
Ученик_123,79846799779,student123@example.com,123,22.06.2025,Анна,Реклама,11,9,29.06.2025,13.08.2025,45,52,Клиент,Южный,Елена,Да,,Нет,10,26.06.2015
Ученик_124,79015956152,student124@example.com,124,19.04.2024,Ольга,Реклама,6,6,20.04.2024,11.07.2024,82,83,Клиент,Северный,Елена,Да,vk.com/id123,Нет,13,21.01.2013
Ученик_125,79136105947,student125@example.com,125,22.08.2024,Ольга,Друг,7,7,31.08.2024,18.10.2024,48,57,Клиент,Южный,,Нет,vk.com/id123,Нет,11,05.12.2014
Ученик_126,79485337126,student126@example.com,126,23.10.2025,Дмитрий,Давно знаю,4,4,30.10.2025,05.12.2025,36,43,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,14,07.02.2012
Ученик_127,79909779886,student127@example.com,127,08.03.2025,Ольга,Давно знаю,10,6,09.03.2025,15.04.2025,37,38,Бывший клиент,Северный,Елена,Да,vk.com/id123,Да,10,26.05.2015
Ученик_128,79070525764,student128@example.com,128,25.05.2024,Дмитрий,Соцсети,5,2,28.05.2024,25.08.2024,89,92,Бывший клиент,Основной,,Да,,Нет,12,09.02.2014
Ученик_129,79542831335,student129@example.com,129,14.04.2024,Ольга,Друг,3,2,27.04.2024,03.07.2024,67,80,Клиент,Южный,Елена,Нет,,Нет,10,16.05.2015
Ученик_130,79888434627,student130@example.com,130,14.07.2025,Анна,Давно знаю,11,8,23.07.2025,14.09.2025,53,62,Клиент,Северный,Елена,Да,,Да,11,11.04.2014
Ученик_131,79163894795,student131@example.com,131,31.01.2025,Дмитрий,Сайт,8,6,11.02.2025,27.04.2025,75,86,Клиент,Южный,Елена,Нет,,Нет,13,16.02.2013
Ученик_132,79597398528,student132@example.com,132,07.05.2025,Юлиана,Давно знаю,4,3,17.05.2025,24.07.2025,68,78,Клиент,Основной,,Да,,Нет,10,01.03.2016
Ученик_133,79938028775,student133@example.com,133,30.04.2024,Ольга,Друг,7,6,04.05.2024,20.06.2024,47,51,Клиент,Южный,Елена,Нет,,Нет,15,23.06.2010
Ученик_134,79620535283,student134@example.com,134,22.01.2026,Ольга,Давно знаю,10,7,29.01.2026,01.03.2026,31,38,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,10,01.09.2015
Ученик_135,79123357166,student135@example.com,135,10.12.2025,Анна,Соцсети,10,5,16.12.2025,10.02.2026,56,62,Бывший клиент,Северный,Елена,Нет,,Нет,14,05.05.2011
Ученик_136,79193720285,student136@example.com,136,12.03.2025,Юлиана,Друг,11,10,17.03.2025,03.06.2025,78,83,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,12,29.08.2013
Ученик_137,79152336745,student137@example.com,137,08.01.2025,Ольга,Сайт,9,8,11.01.2025,26.03.2025,74,77,Клиент,Южный,,Да,,Нет,12,29.10.2013
Ученик_138,79169016920,student138@example.com,138,21.08.2024,Анна,Давно знаю,3,3,31.08.2024,27.11.2024,88,98,Клиент,Северный,Елена,Нет,,Нет,10,20.03.2016
Ученик_139,79723668399,student139@example.com,139,20.08.2025,Юлиана,Друг,3,2,25.08.2025,18.11.2025,85,90,Клиент,Основной,Елена,Да,vk.com/id123,Нет,10,21.10.2015
Ученик_140,79231465414,student140@example.com,140,05.08.2024,Дмитрий,Соцсети,4,1,10.08.2024,16.09.2024,37,42,Бывший клиент,Южный,Елена,Нет,,Нет,11,02.05.2014
Ученик_141,79048766522,student141@example.com,141,21.02.2025,Ольга,Давно знаю,4,2,01.03.2025,28.05.2025,88,96,Бывший клиент,Основной,Елена,Нет,,Нет,14,29.08.2011
Ученик_142,79310791488,student142@example.com,142,04.11.2024,Юлиана,Давно знаю,3,2,14.11.2024,19.01.2025,66,76,Клиент,Северный,,Да,vk.com/id123,Да,12,03.06.2013
Ученик_143,79426351920,student143@example.com,143,26.12.2025,Анна,Соцсети,6,5,31.12.2025,07.03.2026,66,71,Бывший клиент,Южный,,Да,,Нет,10,25.07.2015
Ученик_144,79761818706,student144@example.com,144,28.03.2025,Юлиана,Соцсети,3,3,11.04.2025,23.06.2025,73,87,Клиент,Южный,Елена,Нет,,Нет,10,26.03.2016
