client_id,full_name,age,birth_date,phone,email,responsible_manager,source,created_date,total_enrollments,total_attendances,first_attendance_date,last_attendance_date,attendance_days_span,lifetime_from_creation_to_last_attendance,student_status,branch,parent_info,subscribed_to_newsletter,vk,no_auto_notifications,diligence,base_attendance,risk,risk_score,avg_score,score_trend,academic_risk
25,Ученик_25,15,01.08.2010,79002314313,student25@example.com,Анна,Соцсети,22.11.2025,10,10,01.12.2025,07.01.2026,37,46,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.3,0.772,0,0.315,1.23,-0.00566,1
26,Ученик_26,12,16.08.2013,79203901283,student26@example.com,Дмитрий,Сайт,02.12.2025,8,5,06.12.2025,06.02.2026,62,66,Бывший клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.42,0.702,1,0.763,1.0,-0.0,1
27,Ученик_27,11,07.03.2015,79539931481,student27@example.com,Юлиана,Друг,08.11.2025,10,9,18.11.2025,08.01.2026,51,61,Клиент,Южный,Елена,Да,vk.com/id123,Да,0.451,0.803,0,0.334,1.86,-0.00353,1
28,Ученик_28,13,19.07.2012,79128727266,student28@example.com,Анна,Давно знаю,21.12.2025,6,5,28.12.2025,26.02.2026,60,67,Клиент,Южный,,Да,vk.com/id123,Да,0.3,0.801,0,0.393,1.45,-0.00497,1
29,Ученик_29,15,06.06.2010,79219321646,student29@example.com,Юлиана,Давно знаю,25.02.2026,9,8,08.03.2026,26.04.2026,49,60,Клиент,Южный,Елена,Нет,,Нет,0.7,0.779,0,0.352,2.45,-0.01871,1
30,Ученик_30,11,04.12.2014,79339492674,student30@example.com,Дмитрий,Сайт,20.02.2026,6,6,27.02.2026,09.04.2026,41,48,Клиент,Основной,,Нет,,Нет,0.921,0.951,0,0.0,3.75,-0.02,0
31,Ученик_31,13,22.05.2012,79374745382,student31@example.com,Юлиана,Друг,28.01.2026,3,2,10.02.2026,09.04.2026,58,71,Клиент,Основной,,Да,,Нет,0.396,0.95,0,0.222,1.05,-0.00111,1
32,Ученик_32,14,29.09.2011,79717112652,student32@example.com,Анна,Сайт,08.02.2026,7,5,12.02.2026,19.04.2026,66,70,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.3,0.814,0,0.279,2.77,0.01543,0
33,Ученик_33,15,02.05.2010,79302533494,student33@example.com,Анна,Давно знаю,07.11.2025,9,9,09.11.2025,13.01.2026,65,67,Клиент,Южный,,Да,vk.com/id123,Да,0.981,0.863,0,0.0,2.8,-0.02723,1
34,Ученик_34,10,12.10.2015,79099104722,student34@example.com,Ольга,Реклама,30.09.2024,8,7,04.10.2024,20.12.2024,77,81,Бывший клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.328,0.714,1,0.885,1.0,-0.0,1
35,Ученик_35,12,15.11.2013,79795890631,student35@example.com,Юлиана,Давно знаю,28.08.2024,5,1,11.09.2024,03.12.2024,83,97,Бывший клиент,Северный,Елена,Да,,Нет,0.08,0.566,1,0.972,2.3,-0.00286,1
36,Ученик_36,13,30.08.2012,79625464884,student36@example.com,Юлиана,Друг,04.02.2026,4,2,06.02.2026,11.04.2026,64,66,Бывший клиент,Южный,,Да,vk.com/id123,Да,0.131,0.511,1,0.938,2.92,-0.0144,1
37,Ученик_37,10,30.01.2016,79732363533,student37@example.com,Ольга,Давно знаю,08.03.2025,7,6,09.03.2025,12.04.2025,34,35,Клиент,Основной,Елена,Да,,Нет,0.7,0.801,0,0.242,2.1,-0.00635,1
38,Ученик_38,15,07.10.2010,79858872154,student38@example.com,Дмитрий,Друг,20.09.2025,4,3,21.09.2025,08.12.2025,78,79,Клиент,Основной,Елена,Да,vk.com/id123,Нет,0.971,0.766,0,0.0,4.44,-0.00113,0
39,Ученик_39,13,24.03.2013,79286480450,student39@example.com,Ольга,Реклама,04.04.2025,5,4,06.04.2025,14.05.2025,38,40,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,0.3,0.784,0,0.398,2.71,-0.00099,0
40,Ученик_40,13,09.02.2013,79375442872,student40@example.com,Юлиана,Соцсети,10.08.2025,10,6,22.08.2025,01.11.2025,71,83,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.536,0.748,0,0.216,3.71,0.00402,0
41,Ученик_41,10,10.12.2015,79299147754,student41@example.com,Юлиана,Реклама,01.01.2025,3,3,03.01.2025,24.02.2025,52,54,Клиент,Основной,Елена,Нет,,Нет,0.99,0.703,0,0.0,4.52,-0.00271,0
42,Ученик_42,14,15.11.2011,79123847257,student42@example.com,Дмитрий,Сайт,22.02.2025,8,5,02.03.2025,20.05.2025,79,87,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.3,0.754,0,0.412,2.78,-0.00951,0
43,Ученик_43,12,21.11.2013,79468574364,student43@example.com,Юлиана,Давно знаю,12.09.2024,7,6,20.09.2024,05.12.2024,76,84,Клиент,Южный,Елена,Нет,,Нет,0.921,0.844,0,0.0,2.22,-0.02936,1
44,Ученик_44,14,06.02.2012,79558260221,student44@example.com,Анна,Соцсети,19.05.2024,9,7,24.05.2024,09.08.2024,77,82,Бывший клиент,Южный,,Нет,vk.com/id123,Нет,0.49,0.521,1,0.85,3.55,-0.01414,0
45,Ученик_45,13,27.04.2012,79712306873,student45@example.com,Ольга,Реклама,31.10.2024,8,5,11.11.2024,14.12.2024,33,44,Клиент,Основной,Елена,Нет,,Нет,0.567,0.843,0,0.311,3.28,-0.004,0
46,Ученик_46,12,03.11.2013,79748621833,student46@example.com,Ольга,Друг,01.06.2024,5,5,09.06.2024,31.08.2024,83,91,Клиент,Северный,Елена,Нет,,Нет,0.581,0.875,0,0.146,3.65,0.09643,0
47,Ученик_47,17,29.12.2008,79588343096,student47@example.com,Дмитрий,Соцсети,23.10.2024,10,10,26.10.2024,07.01.2025,73,76,Клиент,Основной,Елена,Да,,Да,0.499,0.95,0,0.241,3.6,0.00171,0
48,Ученик_48,17,20.12.2008,79548868899,student48@example.com,Ольга,Соцсети,09.12.2025,11,8,19.12.2025,25.01.2026,37,47,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.554,0.82,0,0.135,3.87,0.00403,0
49,Ученик_49,15,10.01.2011,79878775497,student49@example.com,Ольга,Давно знаю,20.01.2026,9,6,27.01.2026,03.03.2026,35,42,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,0.7,0.713,0,0.413,3.6,0.00265,0
50,Ученик_50,12,11.12.2013,79488999385,student50@example.com,Анна,Реклама,07.11.2025,3,3,19.11.2025,02.01.2026,44,56,Клиент,Северный,,Да,,Нет,0.481,0.884,0,0.242,3.76,-0.00507,0
51,Ученик_51,12,15.06.2013,79958486184,student51@example.com,Дмитрий,Реклама,24.02.2025,7,2,28.02.2025,14.05.2025,75,79,Бывший клиент,Основной,Елена,Да,vk.com/id123,Нет,0.05,0.56,1,1.0,2.6,-0.01556,1
52,Ученик_52,14,15.12.2011,79143171768,student52@example.com,Дмитрий,Реклама,23.07.2024,9,8,27.07.2024,20.09.2024,55,59,Бывший клиент,Северный,,Да,vk.com/id123,Да,0.303,0.832,1,0.72,2.67,0.01616,0
53,Ученик_53,13,23.06.2012,79891816852,student53@example.com,Ольга,Друг,26.04.2025,7,7,27.04.2025,07.07.2025,71,72,Бывший клиент,Южный,Елена,Нет,,Нет,0.321,0.85,1,0.667,3.5,0.00309,0
54,Ученик_54,13,14.01.2013,79672966010,student54@example.com,Дмитрий,Соцсети,14.10.2025,9,6,21.10.2025,11.12.2025,51,58,Бывший клиент,Основной,,Да,,Да,0.411,0.53,1,0.908,3.91,0.00893,0
55,Ученик_55,12,25.02.2014,79148578017,student55@example.com,Анна,Сайт,01.10.2025,7,5,12.10.2025,17.12.2025,66,77,Клиент,Основной,,Нет,vk.com/id123,Нет,0.418,0.729,0,0.402,1.02,-0.0009,1
56,Ученик_56,11,15.04.2014,79582624278,student56@example.com,Анна,Реклама,20.12.2024,9,3,22.12.2024,25.01.2025,34,36,Бывший клиент,Северный,,Нет,,Нет,0.083,0.705,1,0.903,1.23,-0.00715,1
57,Ученик_57,16,22.12.2009,79006330865,student57@example.com,Дмитрий,Соцсети,25.09.2025,11,10,06.10.2025,14.11.2025,39,50,Клиент,Северный,Елена,Да,,Да,0.96,0.806,0,0.0,4.96,-0.00078,0
58,Ученик_58,10,18.09.2015,79521454127,student58@example.com,Анна,Соцсети,27.08.2024,11,10,02.09.2024,09.11.2024,68,74,Клиент,Основной,Елена,Нет,,Нет,0.7,0.867,0,0.235,1.6,0.12,1
59,Ученик_59,13,28.04.2012,79635540030,student59@example.com,Анна,Соцсети,27.01.2026,5,5,04.02.2026,11.04.2026,66,74,Клиент,Южный,Елена,Да,vk.com/id123,Да,0.898,0.86,0,0.0,4.32,-0.00922,0
60,Ученик_60,11,22.02.2015,79407059676,student60@example.com,Анна,Соцсети,06.10.2025,3,3,14.10.2025,20.12.2025,67,75,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.346,0.766,0,0.395,3.0,-0.00531,0
61,Ученик_61,10,20.10.2015,79896478772,student61@example.com,Дмитрий,Сайт,18.11.2024,4,3,02.12.2024,21.02.2025,81,95,Клиент,Основной,,Нет,,Нет,0.617,0.715,0,0.319,1.0,-0.0,1
62,Ученик_62,10,03.07.2015,79265518424,student62@example.com,Ольга,Давно знаю,09.06.2024,11,10,16.06.2024,31.07.2024,45,52,Клиент,Основной,,Да,vk.com/id123,Нет,0.3,0.756,0,0.385,2.33,-0.00491,1
63,Ученик_63,15,23.05.2010,79751044796,student63@example.com,Анна,Реклама,17.04.2025,9,4,26.04.2025,24.06.2025,59,68,Бывший клиент,Северный,,Да,vk.com/id123,Да,0.05,0.59,1,1.0,1.9,-0.00308,1
64,Ученик_64,12,10.01.2014,79621358005,student64@example.com,Юлиана,Друг,31.08.2024,9,7,04.09.2024,06.11.2024,63,67,Клиент,Основной,Елена,Да,,Нет,0.7,0.829,0,0.175,4.26,0.01023,0
65,Ученик_65,11,15.06.2014,79109415691,student65@example.com,Дмитрий,Соцсети,07.05.2024,9,5,11.05.2024,27.06.2024,47,51,Клиент,Южный,Елена,Да,vk.com/id123,Нет,0.513,0.77,0,0.348,3.53,-0.00179,0
66,Ученик_66,14,21.04.2011,79710303128,student66@example.com,Юлиана,Друг,08.07.2025,5,5,09.07.2025,18.09.2025,71,72,Клиент,Северный,Елена,Да,,Да,0.637,0.793,0,0.363,4.2,0.00499,0
67,Ученик_67,14,10.05.2011,79465492204,student67@example.com,Юлиана,Сайт,24.09.2024,4,4,03.10.2024,16.11.2024,44,53,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.892,0.808,0,0.0,2.85,-0.04043,1
68,Ученик_68,13,13.08.2012,79499154414,student68@example.com,Дмитрий,Реклама,13.09.2024,9,3,15.09.2024,08.11.2024,54,56,Бывший клиент,Северный,,Нет,,Нет,0.358,0.656,1,0.735,2.75,-0.0009,0
69,Ученик_69,12,06.06.2013,79261846370,student69@example.com,Ольга,Сайт,07.02.2026,5,3,20.02.2026,13.05.2026,82,95,Клиент,Северный,Елена,Да,,Да,0.966,0.867,0,0.0,4.63,0.00023,0
70,Ученик_70,10,28.04.2015,79523502759,student70@example.com,Ольга,Соцсети,07.09.2024,6,5,21.09.2024,09.11.2024,49,63,Бывший клиент,Основной,,Нет,vk.com/id123,Нет,0.353,0.679,1,0.772,2.34,0.00929,1
71,Ученик_71,16,25.11.2009,79554724287,student71@example.com,Ольга,Сайт,22.11.2024,11,9,25.11.2024,29.12.2024,34,37,Бывший клиент,Основной,Елена,Нет,vk.com/id123,Нет,0.296,0.834,1,0.717,3.01,-0.00158,0
72,Ученик_72,13,09.09.2012,79851405188,student72@example.com,Анна,Соцсети,03.07.2024,10,9,07.07.2024,09.08.2024,33,37,Клиент,Основной,Елена,Нет,,Нет,0.7,0.791,0,0.205,2.41,-0.02082,1
73,Ученик_73,10,13.12.2015,79594287057,student73@example.com,Анна,Соцсети,01.10.2024,10,10,12.10.2024,08.12.2024,57,68,Клиент,Южный,Елена,Нет,,Нет,0.735,0.905,0,0.0,1.47,-0.01819,1
74,Ученик_74,11,28.06.2014,79269942642,student74@example.com,Ольга,Сайт,23.01.2025,11,5,29.01.2025,06.04.2025,67,73,Бывший клиент,Основной,Елена,Нет,,Нет,0.242,0.511,1,0.951,2.55,-0.1125,1
75,Ученик_75,12,28.12.2013,79793070706,student75@example.com,Юлиана,Сайт,30.04.2025,6,6,07.05.2025,28.07.2025,82,89,Клиент,Северный,Елена,Да,vk.com/id123,Нет,0.7,0.75,0,0.205,1.33,-0.00768,1
76,Ученик_76,16,09.06.2009,79387493096,student76@example.com,Ольга,Друг,31.01.2025,3,2,01.02.2025,12.04.2025,70,71,Клиент,Основной,Елена,Да,,Нет,0.526,0.94,0,0.174,1.28,-0.01145,1
77,Ученик_77,12,08.04.2013,79684907325,student77@example.com,Анна,Друг,05.07.2025,6,2,15.07.2025,12.10.2025,89,99,Бывший клиент,Северный,,Да,,Нет,0.05,0.67,1,0.897,1.9,0.00104,1
78,Ученик_78,13,30.03.2013,79197958983,student78@example.com,Ольга,Друг,12.09.2025,3,3,15.09.2025,19.10.2025,34,37,Клиент,Основной,Елена,Нет,,Нет,0.925,0.881,0,0.0,2.4,-0.01994,1
79,Ученик_79,11,04.08.2014,79160199682,student79@example.com,Юлиана,Давно знаю,20.01.2025,6,5,23.01.2025,17.03.2025,53,56,Клиент,Южный,Елена,Да,vk.com/id123,Нет,0.3,0.837,0,0.325,2.25,-0.01646,1
80,Ученик_80,10,21.02.2016,79832894596,student80@example.com,Юлиана,Реклама,19.03.2025,7,7,25.03.2025,25.05.2025,61,67,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.853,0.785,0,0.0,4.05,-0.065,0
81,Ученик_81,13,22.08.2012,79671641650,student81@example.com,Дмитрий,Сайт,09.03.2025,9,6,18.03.2025,25.04.2025,38,47,Бывший клиент,Основной,Елена,Да,vk.com/id123,Нет,0.05,0.671,1,0.853,2.4,-0.00281,1
82,Ученик_82,11,23.02.2015,79438642403,student82@example.com,Анна,Реклама,01.11.2024,9,6,03.11.2024,25.01.2025,83,85,Клиент,Северный,,Да,vk.com/id123,Нет,0.3,0.859,0,0.355,1.0,-0.0,1
83,Ученик_83,10,08.08.2015,79076428684,student83@example.com,Юлиана,Сайт,08.05.2024,4,4,16.05.2024,12.08.2024,88,96,Клиент,Южный,,Нет,,Нет,0.647,0.836,0,0.112,4.16,-0.00146,0
84,Ученик_84,14,22.11.2011,79887588450,student84@example.com,Анна,Друг,11.11.2025,6,6,19.11.2025,08.01.2026,50,58,Клиент,Основной,Елена,Да,vk.com/id123,Да,0.957,0.863,0,0.0,3.35,-0.02184,1
85,Ученик_85,15,12.01.2011,79751333320,student85@example.com,Ольга,Сайт,11.07.2025,6,4,22.07.2025,11.09.2025,51,62,Клиент,Северный,Елена,Нет,,Нет,0.3,0.763,0,0.413,1.0,0.0,1
86,Ученик_86,11,23.07.2014,79648232591,student86@example.com,Дмитрий,Друг,23.12.2024,6,5,03.01.2025,23.03.2025,79,90,Клиент,Северный,Елена,Да,,Да,0.3,0.843,0,0.322,2.9,0.01882,0
87,Ученик_87,14,10.12.2011,79819382051,student87@example.com,Юлиана,Друг,15.01.2025,7,6,29.01.2025,07.04.2025,68,82,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,0.3,0.939,0,0.165,1.26,-0.00755,1
88,Ученик_88,13,07.05.2012,79097970787,student88@example.com,Ольга,Соцсети,16.06.2025,6,6,19.06.2025,19.07.2025,30,33,Клиент,Северный,,Нет,,Нет,0.631,0.913,0,0.129,3.9,-0.00917,0
89,Ученик_89,10,17.10.2015,79744826434,student89@example.com,Юлиана,Сайт,06.05.2025,9,6,13.05.2025,08.07.2025,56,63,Бывший клиент,Северный,Елена,Нет,,Нет,0.5,0.782,1,0.677,3.45,0.00431,0
90,Ученик_90,11,12.09.2014,79347112584,student90@example.com,Юлиана,Друг,10.01.2025,6,6,15.01.2025,11.04.2025,86,91,Клиент,Основной,Елена,Нет,,Нет,0.3,0.821,0,0.368,2.19,-0.01673,1
91,Ученик_91,10,11.09.2015,79058201193,student91@example.com,Юлиана,Друг,19.06.2024,8,7,02.07.2024,04.08.2024,33,46,Клиент,Основной,Елена,Нет,,Нет,0.922,0.897,0,0.0,5.0,-0.0,0
92,Ученик_92,11,22.05.2014,79996081045,student92@example.com,Дмитрий,Соцсети,23.01.2025,3,3,02.02.2025,10.04.2025,67,77,Клиент,Северный,Елена,Да,,Нет,0.543,0.938,0,0.161,3.8,0.00538,0
93,Ученик_93,15,14.04.2010,79591458887,student93@example.com,Юлиана,Соцсети,05.10.2024,11,6,13.10.2024,18.12.2024,66,74,Бывший клиент,Основной,,Да,vk.com/id123,Да,0.193,0.653,1,0.962,2.6,-0.02916,1
94,Ученик_94,14,18.02.2012,79769446962,student94@example.com,Юлиана,Реклама,19.04.2025,3,3,03.05.2025,20.06.2025,48,62,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.549,0.887,0,0.187,3.9,-0.00171,0
95,Ученик_95,13,17.11.2012,79411872350,student95@example.com,Дмитрий,Соцсети,27.12.2024,9,6,09.01.2025,15.03.2025,65,78,Бывший клиент,Основной,Елена,Да,,Нет,0.05,0.572,1,1.0,1.85,-0.00168,1
96,Ученик_96,15,20.07.2010,79845805127,student96@example.com,Юлиана,Реклама,06.11.2025,5,4,19.11.2025,20.01.2026,62,75,Клиент,Южный,,Нет,,Нет,0.68,0.874,0,0.277,3.82,-0.00489,0
97,Ученик_97,17,05.04.2009,79479476614,student97@example.com,Ольга,Сайт,15.10.2024,11,9,19.10.2024,27.11.2024,39,43,Бывший клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.311,0.753,1,0.457,1.0,-0.0,1
98,Ученик_98,12,17.10.2013,79748933239,student98@example.com,Дмитрий,Друг,14.01.2026,3,1,19.01.2026,27.02.2026,39,44,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,0.621,0.708,0,0.338,4.08,-0.00263,0
99,Ученик_99,12,07.12.2013,79414548900,student99@example.com,Юлиана,Соцсети,16.07.2024,8,8,24.07.2024,16.09.2024,54,62,Клиент,Южный,Елена,Нет,,Нет,0.99,0.87,0,0.0,4.35,0.00621,0
100,Ученик_100,12,07.05.2013,79938654765,student100@example.com,Дмитрий,Реклама,28.01.2025,5,4,03.02.2025,04.04.2025,60,66,Клиент,Северный,Елена,Да,,Нет,0.94,0.838,0,0.0,4.82,0.00301,0
101,Ученик_101,13,15.08.2012,79839156387,student101@example.com,Анна,Давно знаю,01.10.2024,8,8,07.10.2024,20.11.2024,44,50,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.929,0.834,0,0.0,3.84,0.00108,0
102,Ученик_102,11,16.04.2014,79673020489,student102@example.com,Юлиана,Соцсети,25.04.2025,7,6,30.04.2025,26.07.2025,87,92,Клиент,Южный,Елена,Нет,,Нет,0.42,0.711,0,0.335,3.03,-0.00078,0
103,Ученик_103,11,30.07.2014,79801834280,student103@example.com,Юлиана,Друг,11.04.2025,4,3,17.04.2025,10.07.2025,84,90,Клиент,Основной,Елена,Да,,Нет,0.552,0.811,0,0.348,3.61,0.00248,0
104,Ученик_104,13,14.02.2013,79049382425,student104@example.com,Дмитрий,Давно знаю,08.09.2025,6,5,09.09.2025,11.11.2025,63,64,Клиент,Северный,,Нет,vk.com/id123,Нет,0.562,0.921,0,0.183,3.71,-0.00687,0
105,Ученик_105,17,07.11.2008,79182518553,student105@example.com,Ольга,Сайт,24.12.2024,7,3,06.01.2025,15.03.2025,68,81,Бывший клиент,Основной,Елена,Да,,Нет,0.302,0.596,1,0.856,3.56,0.00384,0
106,Ученик_106,11,22.09.2014,79684944881,student106@example.com,Анна,Друг,18.09.2024,3,2,28.09.2024,31.10.2024,33,43,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.55,0.916,0,0.154,2.4,-0.08276,1
107,Ученик_107,10,29.04.2015,79371048258,student107@example.com,Дмитрий,Давно знаю,05.01.2026,3,2,17.01.2026,13.03.2026,55,67,Клиент,Южный,Елена,Да,vk.com/id123,Да,0.3,0.8,0,0.442,2.72,-0.03486,1
108,Ученик_108,10,31.08.2015,79114518079,student108@example.com,Дмитрий,Сайт,24.04.2024,4,1,28.04.2024,19.06.2024,52,56,Бывший клиент,Основной,Елена,Да,,Да,0.05,0.559,1,0.973,1.0,-0.0,1
109,Ученик_109,17,05.10.2008,79891246046,student109@example.com,Ольга,Друг,14.08.2024,3,3,23.08.2024,07.11.2024,76,85,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.7,0.834,0,0.26,2.85,0.01458,0
110,Ученик_110,10,31.03.2016,79832945529,student110@example.com,Юлиана,Друг,25.05.2025,9,7,27.05.2025,07.08.2025,72,74,Клиент,Основной,Елена,Нет,,Нет,0.83,0.914,0,0.0,4.13,0.00358,0
111,Ученик_111,10,07.10.2015,79331714152,student111@example.com,Анна,Реклама,03.03.2025,5,2,09.03.2025,26.04.2025,48,54,Клиент,Северный,Елена,Да,vk.com/id123,Нет,0.493,0.806,0,0.297,3.3,0.00568,0
112,Ученик_112,10,01.10.2015,79188592093,student112@example.com,Юлиана,Реклама,22.11.2025,9,9,02.12.2025,31.01.2026,60,70,Клиент,Основной,Елена,Нет,,Нет,0.561,0.852,0,0.257,1.94,-0.01689,1
113,Ученик_113,11,03.07.2014,79865960427,student113@example.com,Ольга,Сайт,28.05.2024,7,2,31.05.2024,27.07.2024,57,60,Бывший клиент,Северный,Елена,Нет,,Нет,0.241,0.557,1,0.965,2.37,0.00609,1
